,date,open,high,low,close,volume
10924,2016-08-19,12.4155,12.5888,12.4059,12.5599,1307366
10925,2016-08-22,12.5118,12.685,12.4348,12.6658,863910
10926,2016-08-23,12.7235,12.7717,12.6562,12.6754,430864
10927,2016-08-24,12.6273,12.7043,12.5599,12.5792,311254
10928,2016-08-25,12.531,12.6494,12.531,12.5888,382152
10929,2016-08-26,12.608,12.6562,12.4733,12.5503,431447
10930,2016-08-29,12.5695,12.6177,12.4829,12.4925,386308
10931,2016-08-30,12.5118,12.5407,12.454,12.531,412449
10932,2016-08-31,12.5407,12.5407,12.3867,12.454,511507
10933,2016-09-01,12.4637,12.5214,12.3482,12.4444,377804
10934,2016-09-02,12.5214,12.5599,12.4829,12.5599,400904
10935,2016-09-06,12.6177,12.6947,12.4733,12.5214,610847
10936,2016-09-07,12.5407,12.6465,12.5118,12.6465,894746
10937,2016-09-08,12.6465,12.6465,12.4974,12.5214,385311
10938,2016-09-09,12.4059,12.4252,11.9824,11.9824,542172
10939,2016-09-12,11.944,12.1268,11.8766,12.1076,586829
10940,2016-09-13,12.0209,12.0209,11.7707,11.8381,872491
10941,2016-09-14,11.8188,11.9055,11.7466,11.79,710873
10942,2016-09-15,11.8092,11.944,11.7418,11.8766,658498
10943,2016-09-16,11.8862,11.8958,11.6745,11.8188,1190670
10944,2016-09-19,11.8862,11.9536,11.8188,11.8766,495471
10945,2016-09-20,11.9536,11.9536,11.8092,11.8188,412609
10946,2016-09-21,11.8188,11.9055,11.6841,11.8285,618936
10947,2016-09-22,11.8285,11.9536,11.8092,11.9536,593640
10948,2016-09-23,11.9055,12.0017,11.8766,11.9728,381152
10949,2016-09-26,11.8958,11.9536,11.8285,11.8766,500101
10950,2016-09-27,11.8477,11.9247,11.8092,11.8381,1116992
10951,2016-09-28,11.7226,11.8381,11.559,11.5975,789841
10952,2016-09-29,11.7418,11.7515,11.4242,11.4531,869825
10953,2016-09-30,11.5108,11.5205,11.3857,11.5012,787398
10954,2016-10-03,11.4814,11.6986,11.3945,11.6648,749236
10955,2016-10-04,11.6455,11.7348,11.4814,11.52,438338
10956,2016-10-05,11.5876,11.6745,11.5103,11.6069,441396
10957,2016-10-06,11.6069,11.6552,11.4524,11.5586,444761
10958,2016-10-07,11.549,11.6117,11.3462,11.3945,717271
10959,2016-10-10,11.491,11.5393,11.3462,11.4427,287658
10960,2016-10-11,11.3945,11.491,11.2013,11.2496,376018
10961,2016-10-12,11.3462,11.491,11.2013,11.2979,555150
10962,2016-10-13,11.1531,11.2979,11.0565,11.2013,298079
10963,2016-10-14,11.2013,11.2979,11.0806,11.1531,284803
10964,2016-10-17,11.1048,11.2013,10.9116,10.9599,387579
10965,2016-10-18,11.1048,11.2013,10.9599,11.1048,601695
10966,2016-10-19,11.2013,11.2496,11.0565,11.1531,459235
10967,2016-10-20,11.1048,11.2013,11.0082,11.1531,530455
10968,2016-10-21,11.0082,11.1531,10.9116,11.1531,347884
10969,2016-10-24,11.2979,11.2979,11.0565,11.1048,558276
10970,2016-10-25,11.0082,11.1048,10.9599,11.0565,380776
10971,2016-10-26,11.0565,11.1531,10.9116,11.0082,655483
10972,2016-10-27,11.0082,11.0082,10.4288,10.622,878547
10973,2016-10-28,10.5737,10.7185,10.5254,10.6702,401713
10974,2016-10-31,10.6702,10.7185,10.5254,10.5254,626237
10975,2016-11-01,10.5254,10.622,10.3805,10.5254,915225
10976,2016-11-02,10.622,10.8151,10.4771,10.5737,867242
10977,2016-11-03,10.5254,10.5737,10.2357,10.4288,1168626
10978,2016-11-04,10.5254,10.7185,10.3805,10.5737,929377
10979,2016-11-07,10.6702,10.8875,10.5978,10.7185,723866
10980,2016-11-08,10.6702,10.9116,10.6702,10.8151,699341
10981,2016-11-09,10.7185,11.1289,10.6702,11.1048,921374
10982,2016-11-10,11.2013,11.5393,11.1048,11.3462,1106459
10983,2016-11-11,11.3945,11.9738,11.3462,11.829,1587279
10984,2016-11-14,12.0221,12.167,11.7807,12.0221,853425
10985,2016-11-15,12.0221,12.0221,11.6359,11.829,761152
10986,2016-11-16,11.829,11.9256,11.7324,11.7807,541380
10987,2016-11-17,11.8773,11.9738,11.7807,11.8773,735923
10988,2016-11-18,11.8773,12.0704,11.7807,12.0221,645792
10989,2016-11-21,12.0221,12.1187,11.8773,12.0221,636829
10990,2016-11-22,11.9738,12.3118,11.7807,12.2153,502947
10991,2016-11-23,12.2153,12.4567,12.1187,12.4084,521533
10992,2016-11-25,12.3601,12.5049,12.3118,12.4084,245202
10993,2016-11-28,12.3601,12.6498,12.336,12.4567,500611
10994,2016-11-29,12.4084,12.6981,12.3601,12.4084,809302
10995,2016-11-30,12.5532,12.6498,12.4567,12.5532,549483
10996,2016-12-01,12.6015,12.7463,12.4567,12.5049,461775
10997,2016-12-02,12.5532,12.6739,12.2153,12.3601,510728
10998,2016-12-05,12.4567,12.9878,12.3842,12.7463,757031
10999,2016-12-06,12.7463,12.7463,12.4084,12.6981,601009
11000,2016-12-07,12.6015,13.036,12.6015,12.9395,740101
11001,2016-12-08,12.8912,13.5189,12.8912,13.4706,886138
11002,2016-12-09,13.5189,13.712,13.375,13.6154,622638
11003,2016-12-12,13.5671,13.6637,13.2292,13.3257,531196
11004,2016-12-13,13.374,13.4706,12.8912,13.1326,1108247
11005,2016-12-14,13.0843,13.3161,12.9878,12.9878,556220
